,IsCanceled,Meal,DistributionChannel,IsRepeatedGuest,DepositType,CustomerType,TotalOfSpecialRequests,WasInWaitingList,Season,Staying,ADR,LeadTime,BookingChanges,Adults,CancelRate,Minors
0,0,BB       ,Direct,0,No Deposit     ,Transient,0,0,winter,"(-0.001, 3.0]","(-0.346, 115.21]","(-0.001, 7.0]","(-0.001, 5.0]","(-0.001, 1.0]","(-0.001, 0.5]","(-0.001, 2.0]"
1,0,BB       ,TA/TO,0,No Deposit     ,Transient,1,0,summer,"(3.0, 7.0]","(115.21, 230.42]","(30.0, 90.0]","(-0.001, 5.0]","(1.0, 55.0]","(-0.001, 0.5]","(-0.001, 2.0]"
2,0,BB       ,TA/TO,0,No Deposit     ,Transient,0,0,spring,"(3.0, 7.0]","(-0.346, 115.21]","(30.0, 90.0]","(-0.001, 5.0]","(1.0, 55.0]","(-0.001, 0.5]","(-0.001, 2.0]"
3,0,BB       ,TA/TO,0,No Deposit     ,Transient,1,0,spring,"(-0.001, 3.0]","(-0.346, 115.21]","(-0.001, 7.0]","(-0.001, 5.0]","(1.0, 55.0]","(-0.001, 0.5]","(-0.001, 2.0]"
