IsCanceled,Meal,DistributionChannel,IsRepeatedGuest,DepositType,CustomerType,WasInWaitingList,Season,ADR,LeadTime,BookingChanges,Adults,CancelRate,Minors,Staying,TotalOfSpecialRequests,N_Examples
0,BB       ,TA/TO,0,No Deposit     ,Transient,0,winter,"(-0.311, 103.593]","(-0.001, 7.0]","(-0.001, 5.0]","(1.0, 4.0]","(-0.001, 0.5]","(-0.001, 2.0]","(-0.001, 3.0]","(-0.001, 1.0]",20260
0,BB       ,TA/TO,0,No Deposit     ,Transient,0,spring,"(103.593, 207.187]","(7.0, 30.0]","(-0.001, 5.0]","(1.0, 4.0]","(-0.001, 0.5]","(-0.001, 2.0]","(-0.001, 3.0]","(-0.001, 1.0]",18550
0,BB       ,TA/TO,0,No Deposit     ,Transient-Party,0,autumn,"(-0.311, 103.593]","(30.0, 90.0]","(-0.001, 5.0]","(1.0, 4.0]","(-0.001, 0.5]","(-0.001, 2.0]","(-0.001, 3.0]","(-0.001, 1.0]",10547
0,BB       ,TA/TO,0,No Deposit     ,Transient,0,summer,"(-0.311, 103.593]","(30.0, 90.0]","(-0.001, 5.0]","(1.0, 4.0]","(-0.001, 0.5]","(-0.001, 2.0]","(3.0, 7.0]","(-0.001, 1.0]",9977
1,BB       ,TA/TO,0,Non Refund     ,Transient,0,summer,"(-0.311, 103.593]","(30.0, 90.0]","(-0.001, 5.0]","(1.0, 4.0]","(-0.001, 0.5]","(-0.001, 2.0]","(-0.001, 3.0]","(-0.001, 1.0]",10714
1,BB       ,TA/TO,0,No Deposit     ,Transient,0,spring,"(103.593, 207.187]","(-0.001, 7.0]","(-0.001, 5.0]","(1.0, 4.0]","(-0.001, 0.5]","(-0.001, 2.0]","(-0.001, 3.0]","(-0.001, 1.0]",9282
