IsCanceled,Meal,DistributionChannel,IsRepeatedGuest,DepositType,CustomerType,TotalOfSpecialRequests,WasInWaitingList,Season,ADR,LeadTime,BookingChanges,Adults,CancelRate,Minors,Staying,N_Examples
0,BB       ,TA/TO,0,No Deposit     ,Transient,1,0,summer,"(-0.346, 115.21]","(30.0, 90.0]","(-0.001, 5.0]","(1.0, 55.0]","(-0.001, 0.5]","(-0.001, 2.0]","(3.0, 7.0]",5749
0,BB       ,TA/TO,0,No Deposit     ,Transient,0,0,summer,"(115.21, 230.42]","(-0.001, 7.0]","(-0.001, 5.0]","(1.0, 55.0]","(-0.001, 0.5]","(-0.001, 2.0]","(3.0, 7.0]",8306
0,BB       ,TA/TO,0,No Deposit     ,Transient,0,0,spring,"(-0.346, 115.21]","(30.0, 90.0]","(-0.001, 5.0]","(1.0, 55.0]","(-0.001, 0.5]","(-0.001, 2.0]","(3.0, 7.0]",7667
0,BB       ,Corporate,0,No Deposit     ,Transient,0,0,winter,"(-0.346, 115.21]","(-0.001, 7.0]","(-0.001, 5.0]","(-0.001, 1.0]","(-0.001, 0.5]","(-0.001, 2.0]","(-0.001, 3.0]",4540
0,BB       ,TA/TO,0,No Deposit     ,Transient-Party,0,0,spring,"(-0.346, 115.21]","(180.0, 365.0]","(-0.001, 5.0]","(1.0, 55.0]","(-0.001, 0.5]","(-0.001, 2.0]","(-0.001, 3.0]",6065
0,BB       ,TA/TO,0,No Deposit     ,Transient,0,0,winter,"(-0.346, 115.21]","(-0.001, 7.0]","(-0.001, 5.0]","(1.0, 55.0]","(-0.001, 0.5]","(-0.001, 2.0]","(-0.001, 3.0]",7733
